Segment: 1 | Count: 250 | Total Reward: 28 | Count Reward Weak: 20 | Count Reward Moderate: 20 | Count Reward Strong: 8
Segment: 42 | Count: 250 | Total Reward: 87.25 | Count Reward Weak: 53 | Count Reward Moderate: 28 | Count Reward Strong: 51
Segment: 43 | Count: 250 | Total Reward: 90.93 | Count Reward Weak: 62 | Count Reward Moderate: 41 | Count Reward Strong: 43
Segment: 44 | Count: 250 | Total Reward: 77.95 | Count Reward Weak: 53 | Count Reward Moderate: 38 | Count Reward Strong: 35
Segment: 45 | Count: 250 | Total Reward: 95.2099999999999 | Count Reward Weak: 60 | Count Reward Moderate: 23 | Count Reward Strong: 60
Segment: 46 | Count: 250 | Total Reward: 87.65 | Count Reward Weak: 44 | Count Reward Moderate: 39 | Count Reward Strong: 47
Segment: 47 | Count: 250 | Total Reward: 89.97 | Count Reward Weak: 50 | Count Reward Moderate: 41 | Count Reward Strong: 46
Segment: 48 | Count: 250 | Total Reward: 91.31 | Count Reward Weak: 52 | Count Reward Moderate: 45 | Count Reward Strong: 44
Segment: 49 | Count: 250 | Total Reward: 74.24 | Count Reward Weak: 61 | Count Reward Moderate: 33 | Count Reward Strong: 32
Segment: 50 | Count: 250 | Total Reward: 81.98 | Count Reward Weak: 49 | Count Reward Moderate: 43 | Count Reward Strong: 37
Segment: 51 | Count: 250 | Total Reward: 91.97 | Count Reward Weak: 48 | Count Reward Moderate: 39 | Count Reward Strong: 50
Segment: 52 | Count: 250 | Total Reward: 74.26 | Count Reward Weak: 57 | Count Reward Moderate: 35 | Count Reward Strong: 32
Segment: 53 | Count: 250 | Total Reward: 84.66 | Count Reward Weak: 46 | Count Reward Moderate: 44 | Count Reward Strong: 40
Segment: 54 | Count: 250 | Total Reward: 85.68 | Count Reward Weak: 39 | Count Reward Moderate: 43 | Count Reward Strong: 44
Segment: 55 | Count: 250 | Total Reward: 90.65 | Count Reward Weak: 38 | Count Reward Moderate: 33 | Count Reward Strong: 56
Segment: 56 | Count: 250 | Total Reward: 85.95 | Count Reward Weak: 47 | Count Reward Moderate: 32 | Count Reward Strong: 49
Segment: 57 | Count: 250 | Total Reward: 87.59 | Count Reward Weak: 57 | Count Reward Moderate: 34 | Count Reward Strong: 46
Segment: 58 | Count: 250 | Total Reward: 90.97 | Count Reward Weak: 51 | Count Reward Moderate: 42 | Count Reward Strong: 46
Segment: 59 | Count: 250 | Total Reward: 89.29 | Count Reward Weak: 47 | Count Reward Moderate: 34 | Count Reward Strong: 51
Segment: 60 | Count: 250 | Total Reward: 96.26 | Count Reward Weak: 58 | Count Reward Moderate: 36 | Count Reward Strong: 53
Segment: 61 | Count: 250 | Total Reward: 90 | Count Reward Weak: 41 | Count Reward Moderate: 41 | Count Reward Strong: 49
Segment: 62 | Count: 250 | Total Reward: 95.65 | Count Reward Weak: 41 | Count Reward Moderate: 36 | Count Reward Strong: 58
Segment: 63 | Count: 250 | Total Reward: 65.58 | Count Reward Weak: 61 | Count Reward Moderate: 35 | Count Reward Strong: 22
Segment: 64 | Count: 250 | Total Reward: 79.96 | Count Reward Weak: 48 | Count Reward Moderate: 36 | Count Reward Strong: 40
Segment: 65 | Count: 250 | Total Reward: 57.64 | Count Reward Weak: 44 | Count Reward Moderate: 36 | Count Reward Strong: 19
Segment: 66 | Count: 250 | Total Reward: 68.62 | Count Reward Weak: 44 | Count Reward Moderate: 30 | Count Reward Strong: 34
Segment: 67 | Count: 250 | Total Reward: 27.3 | Count Reward Weak: 22 | Count Reward Moderate: 12 | Count Reward Strong: 12
Segment: 68 | Count: 250 | Total Reward: 36.32 | Count Reward Weak: 26 | Count Reward Moderate: 22 | Count Reward Strong: 13
Segment: 69 | Count: 250 | Total Reward: 89.64 | Count Reward Weak: 51 | Count Reward Moderate: 43 | Count Reward Strong: 44
Segment: 70 | Count: 250 | Total Reward: 90.61 | Count Reward Weak: 51 | Count Reward Moderate: 34 | Count Reward Strong: 51
Segment: 71 | Count: 250 | Total Reward: 86.7 | Count Reward Weak: 42 | Count Reward Moderate: 52 | Count Reward Strong: 38
Segment: 72 | Count: 250 | Total Reward: 76.95 | Count Reward Weak: 51 | Count Reward Moderate: 36 | Count Reward Strong: 36
Segment: 73 | Count: 250 | Total Reward: 86.28 | Count Reward Weak: 54 | Count Reward Moderate: 38 | Count Reward Strong: 43
Segment: 74 | Count: 250 | Total Reward: 81.6 | Count Reward Weak: 54 | Count Reward Moderate: 34 | Count Reward Strong: 41
Segment: 75 | Count: 250 | Total Reward: 92.01 | Count Reward Weak: 38 | Count Reward Moderate: 41 | Count Reward Strong: 52
Segment: 76 | Count: 250 | Total Reward: 93.32 | Count Reward Weak: 49 | Count Reward Moderate: 45 | Count Reward Strong: 47
Segment: 77 | Count: 250 | Total Reward: 91.02 | Count Reward Weak: 45 | Count Reward Moderate: 51 | Count Reward Strong: 42
Segment: 78 | Count: 250 | Total Reward: 81.23 | Count Reward Weak: 66 | Count Reward Moderate: 35 | Count Reward Strong: 36
Segment: 79 | Count: 250 | Total Reward: 85.59 | Count Reward Weak: 60 | Count Reward Moderate: 37 | Count Reward Strong: 41
Segment: 80 | Count: 250 | Total Reward: 84.29 | Count Reward Weak: 49 | Count Reward Moderate: 36 | Count Reward Strong: 44
